EventID,Evaluation Status,Origin Date,Origin Time,Local Magnitude,Moment Magnitude,Latitude (WGS84),Latitude Error (km),Longitude (WGS84),Longitude Error (km),Depth of Hypocenter (Km.  Rel to MSL),Depth of Hypocenter (Km. Rel to Ground Surface),Depth Uncertainty (Km. Corresponds to 1 st dev),RMS,UsedPhaseCount,UsedStationCount,Author,EventType,LocationName,Nodal Plane 1 - Strike,Nodal Plane 1 - Dip,Nodal Plane 1 - Rake,Nodal Plane 2 - Strike,Nodal Plane 2 - Dip,Nodal Plane 2 - Rake,Focal Mechanism Method ID,Focal Mechanism - Azimuthal Gap,Focal Mechanism - Misfit,Maximum Station Distance (km),Minimum Station Distance (km),Last Updated
texnet2024tlfp,Automatic,2024-10-03,12:29:56,1.8,,31.6432,1.9,-104.4629,1.9,4.1,5.4,2.1,0.1,17,8,TXNet,earthquake,Western Texas,,,,,,,,,,107.18639795958995,3.262941488334909,2024-10-03 12:50:43
texnet2024tlcy,final,2024-10-03,11:10:31,1.7,,31.6257,0.9,-104.5158,0.9,8.5,9.8,0.9,0.2,32,18,TXNet,earthquake,Western Texas,,,,,,,,,,82.48208644607367,4.985688998960499,2024-10-03 12:20:00
texnet2024tlcb,final,2024-10-03,10:42:37,2.0,,31.5278,0.4,-104.0101,0.3,8.2,9.2,0.6,0.2,57,30,TXNet,earthquake,Western Texas,,,,,,,,,,42.48540211492802,4.244723128790037,2024-10-03 12:07:20
texnet2024tlax,final,2024-10-03,10:06:59,1.8,,31.4948,0.2,-103.9874,0.4,0.1,1.1,1.2,0.2,40,22,TXNet,earthquake,Western Texas,,,,,,,,,,42.11082001200679,5.309240687072327,2024-10-03 12:23:56
texnet2024tkyr,final,2024-10-03,09:00:09,2.1,,32.4142,0.3,-102.0635,0.2,7.9,8.8,0.5,0.1,58,34,TXNet,earthquake,Western Texas,,,,,,,,,,41.763326153919294,4.5122312761934635,2024-10-03 12:03:07
texnet2024tkvv,final,2024-10-03,07:31:46,1.6,,31.4980,0.3,-103.9922,0.3,3.4,4.4,1.1,0.1,33,24,TXNet,earthquake,Western Texas,,,,,,,,,,30.301176189604114,7.163961131715441,2024-10-03 09:50:57
texnet2024tkpx,final,2024-10-03,04:27:26,1.6,,31.6746,0.6,-104.4237,0.4,6.7,7.9,0.8,0.2,37,23,TXNet,earthquake,Western Texas,,,,,,,,,,62.74427320583414,2.193609220698536,2024-10-03 10:04:15
texnet2024tkpu,final,2024-10-03,04:23:02,1.0,,31.7679,0.4,-101.9242,0.4,8.6,9.4,1.9,0.2,26,14,TXNet,earthquake,Western Texas,,,,,,,,,,46.29316343504751,7.558412226651813,2024-10-03 13:11:00
texnet2024tkmw,final,2024-10-03,02:43:17,3.2,,32.4133,0.3,-102.0603,0.3,7.3,8.2,0.7,0.1,55,37,TXNet,earthquake,Western Texas,,,,,,,,,,51.99281299773062,4.796749924756743,2024-10-03 03:03:40
texnet2024tkls,final,2024-10-03,02:18:33,1.4,,31.6728,0.6,-104.4829,0.6,6.1,7.4,0.6,0.2,30,18,TXNet,earthquake,Western Texas,,,,,,,,,,71.44558447215522,1.7561678013245186,2024-10-03 10:16:10
texnet2024tkkn,final,2024-10-03,01:44:28,1.6,,31.6788,0.6,-104.4830,0.6,5.9,7.3,0.6,0.2,42,24,TXNet,earthquake,Western Texas,,,,,,,,,,85.19803104218022,2.0319920376545526,2024-10-03 10:26:02
texnet2024tkeo,final,2024-10-02,22:48:21,1.8,,31.9900,0.3,-103.8664,0.2,6.7,7.6,0.6,0.1,31,18,TXNet,earthquake,Western Texas,,,,,,,,,,26.145041409795297,6.179060315511797,2024-10-03 10:43:51
texnet2024tkeg,final,2024-10-02,22:40:28,1.7,,31.6212,0.3,-104.0913,0.2,6.1,7.1,0.3,0.2,65,35,TXNet,earthquake,Western Texas,,,,,,,,,,46.86005117331696,2.8954951404290075,2024-10-03 11:56:12
texnet2024tkcd,final,2024-10-02,21:37:06,1.7,,31.6075,0.2,-103.9732,0.2,7.6,8.6,0.3,0.1,51,29,TXNet,earthquake,Western Texas,,,,,,,,,,43.821730647085744,0.5458056996905243,2024-10-03 12:12:31
texnet2024tjyd,final,2024-10-02,19:24:03,1.2,,32.1890,0.3,-101.3926,0.3,6.1,6.9,1.1,0.1,30,19,TXNet,earthquake,Western Texas,,,,,,,,,,88.61090877379884,6.456387632306109,2024-10-03 14:57:54
texnet2024tjtn,final,2024-10-02,17:06:43,1.8,,31.7677,0.2,-103.8045,0.2,7.0,7.9,0.6,0.1,20,12,TXNet,earthquake,Western Texas,,,,,,,,,,17.818763799799154,3.106199040732428,2024-10-03 12:32:42
texnet2024tjsa,final,2024-10-02,16:21:41,1.7,,31.6870,0.4,-104.3522,0.3,7.4,8.6,0.8,0.2,50,31,TXNet,earthquake,Western Texas,,,,,,,,,,57.20815333471077,8.302982086541318,2024-10-03 12:18:27
texnet2024tjrk,final,2024-10-02,16:04:57,1.7,,31.7188,0.4,-104.2946,0.3,6.1,7.3,0.6,0.1,19,13,TXNet,earthquake,Western Texas,,,,,,,,,,21.879526122104615,5.602348117377369,2024-10-03 12:46:06
texnet2024tjqn,final,2024-10-02,15:42:48,1.5,,31.6705,0.6,-104.4834,0.6,6.0,7.4,0.5,0.2,27,18,TXNet,earthquake,Western Texas,,,,,,,,,,41.20290699382864,1.6575175947015528,2024-10-03 13:12:45
texnet2024tjpu,final,2024-10-02,15:23:30,1.8,,31.6820,0.5,-104.4781,0.7,5.8,7.1,0.7,0.2,51,32,TXNet,earthquake,Western Texas,,,,,,,,,,71.87150799494782,2.6127237202763967,2024-10-03 12:52:49
texnet2024tjhn,final,2024-10-02,11:11:10,1.0,,31.9986,0.5,-102.3765,0.4,9.3,10.2,1.1,0.1,30,18,TXNet,earthquake,Western Texas,,,,,,,,,,41.951110650787875,6.978879669986819,2024-10-02 15:26:07
texnet2024tjdn,final,2024-10-02,09:01:14,1.5,,31.6325,0.3,-104.1333,0.3,6.7,7.7,0.6,0.2,63,35,TXNet,earthquake,Western Texas,,,,,,,,,,66.90038662926293,6.090908918883481,2024-10-02 15:07:43
texnet2024tjbp,final,2024-10-02,08:04:39,2.2,,31.1761,0.3,-103.7333,0.4,1.1,2.0,1.2,0.2,30,21,TXNet,earthquake,Western Texas,,,,,,,,,,36.48957378494729,1.8274568125879755,2024-10-02 12:19:16
texnet2024tjbl,final,2024-10-02,07:59:20,2.1,,31.1711,0.5,-103.7120,0.5,10.0,10.9,2.1,0.2,17,11,TXNet,earthquake,Western Texas,,,,,,,,,,29.33208478063926,13.15763745258415,2024-10-02 14:24:30
texnet2024tjbb,final,2024-10-02,07:49:07,1.7,,31.6322,0.7,-104.5094,0.6,8.2,9.6,0.6,0.1,23,14,TXNet,earthquake,Western Texas,,,,,,,,,,40.54260339395457,4.138182730020286,2024-10-02 12:36:18
texnet2024tizx,final,2024-10-02,07:10:32,1.3,,31.6579,0.6,-104.4505,0.4,6.1,7.4,0.6,0.2,43,23,TXNet,earthquake,Western Texas,,,,,,,,,,47.58862497881543,1.7561010341089807,2024-10-02 13:40:46
texnet2024tivx,final,2024-10-02,05:19:42,2.2,,31.6677,0.8,-104.4188,0.6,7.8,9.0,1.1,0.2,21,19,TXNet,earthquake,Western Texas,,,,,,,,,,34.11801381819834,1.7940889670454934,2024-10-02 08:30:48
texnet2024tisf,final,2024-10-02,03:26:25,2.1,,31.6723,0.4,-104.2649,0.3,2.7,3.8,0.7,0.1,18,14,TXNet,earthquake,Western Texas,,,,,,,,,,20.9574317721233,0.08173373344934923,2024-10-02 08:13:26
texnet2024tinf,final,2024-10-02,00:56:52,1.7,,31.6468,0.5,-104.5241,0.5,7.0,8.3,0.5,0.2,40,23,TXNet,earthquake,Western Texas,,,,,,,,,,105.33782102651267,3.2851061274199034,2024-10-02 13:23:53
texnet2024tibg,final,2024-10-01,18:53:57,1.8,,31.6708,1.1,-104.4110,0.5,7.6,8.8,1.5,0.2,16,11,TXNet,earthquake,Western Texas,,,,,,,,,,17.586906868529116,2.567589619857308,2024-10-02 08:59:41
texnet2024thzr,final,2024-10-01,18:05:33,1.7,,31.6770,0.5,-104.3990,0.3,6.1,7.3,0.6,0.2,28,21,TXNet,earthquake,Western Texas,,,,,,,,,,36.71051661102367,3.899028908276035,2024-10-01 19:46:48
texnet2024thxr,final,2024-10-01,17:05:50,2.1,,31.6779,0.5,-104.4054,0.4,6.5,7.7,0.8,0.2,48,28,TXNet,earthquake,Western Texas,,,,,,,,,,61.496699665821744,3.49292164136811,2024-10-01 19:32:47
texnet2024thti,final,2024-10-01,14:45:32,1.7,,31.7189,0.3,-104.3009,0.3,6.1,7.2,0.7,0.2,28,19,TXNet,earthquake,Western Texas,,,,,,,,,,24.83555603111562,6.017631480541318,2024-10-01 19:40:25
texnet2024thqr,final,2024-10-01,13:24:08,2.9,,31.7225,0.4,-104.2903,0.3,6.3,7.5,0.6,0.2,54,30,TXNet,earthquake,Western Texas,,,,,,,,,,40.57035308333228,5.02483224939352,2024-10-01 13:33:54
texnet2024thpr,final,2024-10-01,12:42:30,1.9,,31.6764,0.5,-104.4275,0.4,6.7,8.0,0.7,0.1,33,23,TXNet,earthquake,Western Texas,,,,,,,,,,39.33578615501461,2.2894454231138925,2024-10-01 15:34:58
texnet2024thoy,final,2024-10-01,12:28:08,1.6,,31.6050,0.2,-103.9622,0.2,8.9,9.9,0.4,0.1,32,23,TXNet,earthquake,Western Texas,,,,,,,,,,15.969567782797121,0.8912381267678845,2024-10-01 13:33:09
texnet2024thnx,final,2024-10-01,12:04:16,2.1,,31.6801,0.4,-104.4211,0.4,6.4,7.6,0.6,0.2,59,31,TXNet,earthquake,Western Texas,,,,,,,,,,68.09521646416009,2.858316187276839,2024-10-01 12:39:15
texnet2024thna,final,2024-10-01,11:37:26,2.1,,31.6833,0.4,-104.4243,0.3,6.4,7.6,0.6,0.2,42,24,TXNet,earthquake,Western Texas,,,,,,,,,,41.74616443175864,3.1055368489490918,2024-10-01 12:53:17
texnet2024thla,final,2024-10-01,10:42:02,1.8,,31.6831,0.4,-104.4224,0.3,6.6,7.9,0.6,0.2,64,37,TXNet,earthquake,Western Texas,,,,,,,,,,69.7008600899288,3.1292116702155774,2024-10-01 11:53:20
texnet2024thku,final,2024-10-01,10:34:36,1.6,,31.5583,0.4,-104.0191,0.3,8.7,9.7,0.5,0.2,44,23,TXNet,earthquake,Western Texas,,,,,,,,,,38.84794980084378,4.216131775868147,2024-10-01 13:31:10
texnet2024thed,final,2024-10-01,06:59:39,1.6,,31.7340,0.4,-104.2427,0.4,7.0,8.1,0.7,0.2,45,26,TXNet,earthquake,Western Texas,,,,,,,,,,32.115968132663,2.6800151511698953,2024-10-01 12:11:54
texnet2024thcw,final,2024-10-01,06:24:32,1.6,,32.3392,0.3,-101.7870,0.3,6.1,6.9,0.6,0.2,48,25,TXNet,earthquake,Western Texas,,,,,,,,,,128.89318398080243,3.101216729868896,2024-10-01 12:02:52
texnet2024thbr,final,2024-10-01,05:50:17,1.7,,32.7704,0.5,-100.6605,0.5,6.9,7.5,1.7,0.1,19,11,TXNet,earthquake,Western Texas,,,,,,,,,,41.66409378030899,8.026932311549297,2024-10-01 14:33:15
texnet2024thbm,final,2024-10-01,05:46:53,2.0,,32.7713,0.4,-100.6616,0.3,6.5,7.2,1.1,0.2,27,16,TXNet,earthquake,Western Texas,,,,,,,,,,79.53169342440823,8.073941472236488,2024-10-01 11:41:22
texnet2024tgvu,final,2024-10-01,02:54:09,1.5,,31.6766,0.5,-104.4593,0.3,2.6,3.9,0.9,0.1,26,17,TXNet,earthquake,Western Texas,,,,,,,,,,42.31380606608237,3.4395968722032104,2024-10-01 15:10:03
texnet2024tguc,final,2024-10-01,01:53:26,2.0,,32.0272,0.3,-103.7744,0.3,8.7,9.7,0.6,0.1,31,19,TXNet,earthquake,New Mexico,,,,,,,,,,26.519498406186205,4.118798265921447,2024-10-01 15:51:37
texnet2024tgsu,final,2024-10-01,01:19:55,2.2,,32.7402,0.5,-100.6637,0.5,7.1,7.7,1.0,0.1,26,19,TXNet,earthquake,Western Texas,,,,,,,,,,74.02756826860163,10.180470378907199,2024-10-01 16:22:25
texnet2024tgsg,final,2024-10-01,01:05:32,1.7,,31.6705,0.5,-104.4134,0.4,6.3,7.5,1.1,0.1,21,19,TXNet,earthquake,Western Texas,,,,,,,,,,22.221176937587842,2.375721670439342,2024-10-01 14:45:53
texnet2024tgrx,final,2024-10-01,00:54:14,3.4,,31.6073,0.3,-103.9619,0.3,8.7,9.7,0.5,0.1,24,16,TXNet,earthquake,Western Texas,,,,,,,,,,12.50141052750378,0.7541412861954108,2024-10-01 01:17:52
texnet2024tgnk,final,2024-09-30,22:33:00,1.5,,31.1785,0.5,-103.4304,0.6,4.3,5.1,1.3,0.1,14,10,TXNet,earthquake,Western Texas,,,,,,,,,,15.360398268040763,6.063537411086595,2024-10-01 21:10:50
texnet2024tglo,final,2024-09-30,21:22:07,1.7,,31.6322,1.1,-104.4736,0.7,7.9,9.2,1.4,0.1,17,17,TXNet,earthquake,Western Texas,,,,,,,,,,27.97196877228,4.762487180605742,2024-10-01 17:10:08
texnet2024tgam,final,2024-09-30,16:13:43,1.6,,31.7075,0.3,-101.7184,0.4,8.7,9.5,0.8,0.1,25,21,TXNet,earthquake,Western Texas,,,,,,,,,,56.641164942799485,10.612630733781442,2024-10-01 13:51:46
texnet2024tgag,final,2024-09-30,16:06:04,1.6,,31.6221,0.7,-104.5045,0.8,7.5,8.9,0.8,0.1,29,23,TXNet,earthquake,Western Texas,,,,,,,,,,46.23682647741451,5.189819683330912,2024-10-01 16:56:24
texnet2024tfux,final,2024-09-30,13:25:52,1.9,,31.6586,0.5,-104.4085,0.4,6.1,7.3,0.7,0.2,32,16,TXNet,earthquake,Western Texas,,,,,,,,,,111.5212533501417,2.247037351731323,2024-09-30 19:32:13
texnet2024tfpu,final,2024-09-30,10:49:56,1.3,,32.0920,0.2,-101.6434,0.3,5.6,6.4,1.3,0.1,33,20,TXNet,earthquake,Western Texas,,,,,,,,,,46.050870882845395,2.0365266252329897,2024-09-30 12:09:34
texnet2024tfoo,final,2024-09-30,10:10:23,1.7,,31.6308,0.3,-104.1214,0.3,6.1,7.1,0.6,0.2,48,27,TXNet,earthquake,Western Texas,,,,,,,,,,34.91629896191148,5.661434179681903,2024-09-30 12:46:55
texnet2024tflx,final,2024-09-30,08:51:46,1.4,,31.6663,0.7,-104.4546,0.4,5.3,6.6,0.7,0.2,24,16,TXNet,earthquake,Western Texas,,,,,,,,,,69.06810199231974,2.4159729356651827,2024-10-01 20:39:45
texnet2024tflt,final,2024-09-30,08:47:01,1.2,,32.4051,0.3,-102.0635,0.3,8.2,9.1,0.7,0.1,46,24,TXNet,earthquake,Western Texas,,,,,,,,,,118.13154473317331,4.467883410082427,2024-10-01 20:28:43
texnet2024teze,final,2024-09-30,02:15:59,1.4,,32.8922,0.4,-100.9745,0.4,4.9,5.6,1.0,0.1,18,9,TXNet,earthquake,Western Texas,,,,,,,,,,52.787606622278545,4.740959823628147,2024-10-01 20:09:16
texnet2024tevq,final,2024-09-30,00:35:56,1.1,,32.4014,0.4,-102.0635,0.3,8.3,9.1,0.8,0.1,32,19,TXNet,earthquake,Western Texas,,,,,,,,,,46.95275643563732,4.514758850172858,2024-10-01 19:39:36
texnet2024tetz,final,2024-09-29,23:48:42,1.5,,28.8437,0.7,-98.0973,0.6,9.1,9.2,2.1,0.2,13,10,TXNet,earthquake,Southern Texas,,,,,,,,,,29.37080556078072,10.172315661650064,2024-10-01 18:45:25
texnet2024tels,final,2024-09-29,19:36:01,1.6,,31.5319,0.5,-104.0107,0.3,7.1,8.1,0.6,0.1,43,24,TXNet,earthquake,Western Texas,,,,,,,,,,35.823853949001595,4.130520265301171,2024-09-30 13:16:03
texnet2024telk,final,2024-09-29,19:27:35,2.0,,31.5179,0.3,-104.0135,0.4,7.9,8.8,0.5,0.1,39,31,TXNet,earthquake,Western Texas,,,,,,,,,,34.319926669171466,4.284553028906965,2024-09-30 20:32:56
texnet2024tejj,final,2024-09-29,18:27:33,1.5,,31.1788,0.5,-103.4489,0.4,1.0,1.9,1.2,0.2,21,16,TXNet,earthquake,Western Texas,,,,,,,,,,22.374702722070477,4.33975768061189,2024-10-02 16:50:15
texnet2024tehl,final,2024-09-29,17:24:49,2.0,,28.7357,1.2,-98.9928,0.8,4.6,4.7,2.4,0.2,23,19,TXNet,earthquake,Southern Texas,,,,,,,,,,85.11192372596386,20.18202373530315,2024-09-30 15:03:15
texnet2024tdyk,final,2024-09-29,12:54:29,2.1,,31.7159,0.4,-104.2873,0.3,6.7,7.8,0.5,0.2,43,28,TXNet,earthquake,Western Texas,,,,,,,,,,31.057239918382024,5.365216912791129,2024-09-30 12:31:57
texnet2024tdwm,final,2024-09-29,11:57:11,1.9,,32.4106,0.3,-102.0614,0.2,8.4,9.3,0.6,0.1,71,37,TXNet,earthquake,Western Texas,,,,,,,,,,117.87522421013534,4.667597110106533,2024-10-01 18:04:31
texnet2024tdga,final,2024-09-29,03:37:36,1.6,,29.1641,0.6,-97.8884,0.5,5.8,5.9,1.9,0.1,22,20,TXNet,earthquake,Central Texas,,,,,,,,,,44.429447629525555,10.182430231372512,2024-09-30 15:58:30
texnet2024tdbj,final,2024-09-29,01:10:53,1.6,,29.1000,0.5,-97.8595,0.4,4.7,4.8,1.3,0.4,21,15,TXNet,earthquake,Central Texas,,,,,,,,,,37.268791507947235,7.323172361129466,2024-09-30 20:28:25
texnet2024tcvt,final,2024-09-28,22:18:45,1.1,,32.4380,0.5,-102.1150,0.3,8.9,9.7,0.8,0.1,38,24,TXNet,earthquake,Western Texas,,,,,,,,,,107.94100668019377,3.3731232941913674,2024-09-30 20:13:44
texnet2024tcus,final,2024-09-28,21:54:47,1.4,,31.2346,0.7,-103.4807,0.4,5.2,6.0,1.5,0.3,34,21,TXNet,earthquake,Western Texas,,,,,,,,,,39.734044573885015,8.73595415391593,2024-09-30 20:02:20
texnet2024tctj,final,2024-09-28,21:14:01,1.9,,31.6190,0.2,-104.1043,0.2,5.9,6.9,0.4,0.1,40,24,TXNet,earthquake,Western Texas,,,,,,,,,,32.93109927607151,4.153811644729431,2024-09-30 13:53:37
texnet2024tcri,final,2024-09-28,20:11:39,1.7,,31.6716,0.6,-104.3871,0.4,7.6,8.8,0.9,0.2,25,14,TXNet,earthquake,Western Texas,,,,,,,,,,65.31349642344077,4.59232976084964,2024-09-30 14:00:33
texnet2024tcph,final,2024-09-28,19:01:15,1.3,,32.3904,0.3,-101.9049,0.3,8.3,9.1,0.9,0.1,28,17,TXNet,earthquake,Western Texas,,,,,,,,,,19.447730814048274,4.692802340007665,2024-09-30 19:45:46
texnet2024tcls,final,2024-09-28,17:12:10,1.7,,31.6834,0.4,-104.3463,0.3,7.9,9.1,0.9,0.2,41,23,TXNet,earthquake,Western Texas,,,,,,,,,,64.02888089363559,7.817711811068794,2024-09-30 12:56:23
texnet2024tclh,final,2024-09-28,16:58:44,1.1,,31.8301,0.4,-101.9563,0.4,6.8,7.6,1.1,0.2,39,25,TXNet,earthquake,Western Texas,,,,,,,,,,93.71868499440744,6.055768112640541,2024-10-01 17:08:28
texnet2024tckq,final,2024-09-28,16:37:37,1.3,,31.6153,0.8,-104.5240,0.8,7.9,9.3,1.0,0.2,27,16,TXNet,earthquake,Western Texas,,,,,,,,,,102.16770836010211,6.332064698199255,2024-09-30 19:19:20
texnet2024tcjy,final,2024-09-28,16:16:15,1.7,,32.4362,0.3,-102.1128,0.2,9.1,9.9,0.8,0.1,39,22,TXNet,earthquake,Western Texas,,,,,,,,,,34.6613680099621,3.1535238763356417,2024-09-30 12:19:57
texnet2024tcfi,final,2024-09-28,14:01:03,1.6,,29.1019,0.5,-97.8554,0.5,6.5,6.6,1.2,0.1,16,12,TXNet,earthquake,Central Texas,,,,,,,,,,45.4875327483286,7.180699162862377,2024-09-30 18:07:33
texnet2024tccy,final,2024-09-28,12:46:03,1.1,,32.1304,0.3,-102.2157,0.4,5.5,6.4,1.2,0.1,40,24,TXNet,earthquake,Western Texas,,,,,,,,,,64.50042651357722,4.59831582194221,2024-09-30 17:46:36
texnet2024tccl,final,2024-09-28,12:32:08,1.1,,32.0059,0.5,-101.3583,0.4,8.6,9.4,3.4,0.1,23,15,TXNet,earthquake,Western Texas,,,,,,,,,,39.721354858491296,24.125503197887138,2024-09-30 17:21:31
texnet2024tcba,final,2024-09-28,11:49:08,1.7,,31.6244,0.6,-104.5088,0.5,7.7,9.1,0.7,0.2,38,25,TXNet,earthquake,Western Texas,,,,,,,,,,46.873290954312665,4.984001551606205,2024-09-30 15:05:27
texnet2024tbxm,final,2024-09-28,09:44:51,1.0,,32.4088,0.5,-102.0485,0.3,8.1,9.0,0.9,0.1,22,12,TXNet,earthquake,Western Texas,,,,,,,,,,29.105826152608834,5.866304630537677,2024-09-30 16:15:28
texnet2024tbuq,final,2024-09-28,08:40:11,2.2,,31.6239,0.5,-104.5077,0.5,7.7,9.1,0.7,0.2,49,30,TXNet,earthquake,Western Texas,,,,,,,,,,56.67269784752505,5.01926046409541,2024-09-30 14:18:42
