Network Code,Station Code,Longitude (WGS84),Latitude (WGS84),Affiliation,Archive,Location Description,Place,Elevation,Start Date,End Date
US,AMTX,-101.6808,34.8837,United States National Seismic Network,TXHUB,,Amarillo,1010,9/28/02,
US,CBKS,-99.7374,38.814,United States National Seismic Network,TXHUB,,Cedar Bluff,677,9/11/94,
US,JCT,-99.8022,30.4794,United States National Seismic Network,TXHUB,,Junction,591,2/2/00,
US,KVTX,-97.8929,27.5459,United States National Seismic Network,TXHUB,,Kingsville,14.6,6/15/06,
US,MIAR,-93.5765,34.5454,United States National Seismic Network,TXHUB,,Mount Ida,207,9/22/92,
US,MNTX,-105.3821,31.6985,United States National Seismic Network,TXHUB,,Cornudas Mountains,404.8,5/28/03,
US,NATX,-94.661,31.7598,United States National Seismic Network,TXHUB,,Nacogdoches,168,5/11/04,
US,WMOK,-98.7807,34.7379,United States National Seismic Network,TXHUB,,Wichita Mountains,486,11/11/92,
MX,BCIG,-105.412656,27.544763,SSN,TXHUB,,LA BOQUILLA,1265,11/10/13,
MX,CCIG,-92.136917,16.281885,Mexican National Seismic Network,TXHUB,,Comitan,1625,12/31/99,
MX,CGIG,-107.977352,30.365044,SSN,TXHUB,,CASAS GRANDES,1524,12/6/06,
MX,HPIG,-105.664017,26.936794,SSN,TXHUB,,HIDALGO DEL PARRAL,1786,12/19/06,
MX,LNIG,-99.465617,24.898167,SSN,TXHUB,,LINARES,329,1/18/06,
MX,LVIG,-96.4185,19.72622,SSN,TXHUB,,LAGUNA VERDE,57,4/9/96,
MX,MCIG,-101.483627,27.977093,SSN,TXHUB,,MUZQUIZ,483,2/8/15,
MX,MNIG,-100.29,26.61,SSN,TXHUB,,Monterrey,674,12/31/15,
MX,MYIG,-89.639614,20.948069,SSN,TXHUB,,MERIDA,13,4/11/10,
MX,NZIG,-109.554158,30.373054,SSN,TXHUB,,NACOZARI,1546,11/5/10,
MX,SCIG,-91.186588,18.967037,SSN,TXHUB,,SABANCUY,18,9/30/01,
MX,TLIG,-98.566467,17.562675,Mexican National Seismic Network,TXHUB,,Tlapa,1136,12/31/08,
MX,ZAIG,-102.567001,22.769199,Mexican National Seismic Network,TXHUB,,Zacatecas,2408,12/31/96,
PI,SP00,-106.919,34.074,PASSCAL Pier Test Data,TXHUB,,Socorro,1430,3/26/06,
SC,CBET,-103.999001,32.420502,New Mexico Tech Seismic Network (),,,Carlsbad East Tower,1042,12/31/98,
SC,CL2B,-103.878601,32.264168,New Mexico Tech Seismic Network (),,,Gnome Location,2121,12/31/98,
SC,CL7,-103.8084,32.413,New Mexico Tech Seismic Network (),,,WIPP Site,1034,12/31/98,
SC,CPRX,-103.867302,33.0308,New Mexico Tech Seismic Network (),,,Cap Rock,1361,12/31/98,
SC,DAG,-104.691704,32.591,New Mexico Tech Seismic Network (),,,Dagger Draw,1280,12/31/98,
SC,GDL2,-104.363701,32.200802,New Mexico Tech Seismic Network (),,,Guadalupe Mountains,1211,12/31/98,
SC,HTMS,-103.634163,32.4725,New Mexico Tech Seismic Network (),,,Hat Mesa,1192,12/31/98,
SC,JAL,-103.22932,32.20241,New Mexico Tech Seismic Network (),,,Jal,1020,12/19/19,
SC,PDB,-103.59662,32.0722,New Mexico Tech Seismic Network (),,,Paduca Breaks,1025,12/19/19,
SC,SRH,-104.515381,32.491749,New Mexico Tech Seismic Network (),,,Seven River Hills,1266,5/11/04,
SC,SSS,-103.396835,32.354599,New Mexico Tech Seismic Network (),,,San Simon Sink,1073,12/31/98,
SC,Y22A,-106.965202,33.937,New Mexico Tech Seismic Network (),,,Socorro,1674,2/3/10,
IU,ANMO,-106.457199,34.945911,Global Seismograph Network (GSN - IRIS/USGS),TXHUB,,Albuquerque,1820,6/30/08,
IU,HKT,-95.838402,29.9618,Global Seismograph Network (GSN - IRIS/USGS),TXHUB,,Hockley,-413,9/26/11,
IU,TEIG,-88.276299,20.226299,Global Seismograph Network (GSN - IRIS/USGS),TXHUB,,Tepich,40,10/29/14,
EP,KIDD,-106.506376,31.771774,UTEP Seismic Network,TXHUB,,KIDD Seismic Observatory,1162.5,10/7/09,
TX,237B,-95.808403,32.001499,Texas Seismological Network,TXHUB,,Washetta,116,12/19/18,
TX,435B,-97.585,30.7827,Texas Seismological Network,TXHUB,,Jarrell,248,11/30/18,
TX,833A,-99.3939,28.3236,Texas Seismological Network,TXHUB,,Chaparral WMA,171,1/24/19,
TX,ALPN,-103.63852,30.37448,Unavailable,TXHUB,,"Alpine, TX",1368,2/3/17,
TX,APMT,-100.12155,33.32512,Unavailable,TXHUB,,"Aspermont,TX",501,12/16/16,
TX,BRDY,-98.999447,31.285872,Unavailable,TXHUB,,"Brady, TX",460,2/15/17,
TX,CRHG,-94.22517,32.28884,Unavailable,TXHUB,,"Carthage,TX",95,9/27/16,
TX,DG01,-103.271077,31.377576,University of Texas,TexNet,,"Pecos,TX",787,11/20/19,
TX,DG02,-103.54313,31.40151,University of Texas,TexNet,,"Pecos, TX",804,5/22/20,
TX,DG03,-103.48416,31.38856,University of Texas,TexNet,,"Pecos, TX",830,3/6/20,
TX,DG04,-103.41261,31.28734,University of Texas,TexNet,,"Pecos, TX",795,6/2/20,
TX,DG05,-103.493279,31.17007,University of Texas,TexNet,,"Pecos, TX",837,6/2/20,
TX,DG06,-103.4845,31.4124,University of Texas,TexNet,,"Pecos, TX",785,6/3/20,
TX,DG07,-103.52788,31.452888,University of Texas,TexNet,,"Pecos, TX",794,6/3/20,
TX,DG08,-103.7242,31.19053,University of Texas,TexNet,,"Pecos, TX",895,6/4/20,
TX,DG09,-103.51277,31.37222,University of Texas,TexNet,,"Pecos, TX",795,6/4/20,
TX,DKNS,-100.92365,33.66653,Unavailable,TXHUB,,"Dickens, TX",843,12/16/16,
TX,DRIO,-100.61888,29.42311,,,,"Bracketville, TX",354,3/16/17,
TX,DRZT,-100.29688,36.44401,Unavailable,TXHUB,,"Perryton, TX",791,8/9/17,
TX,FLRS,-98.38039,29.12809,Unavailable,TXHUB,,"Floresville, TX",173,9/8/19,
TX,EF02,-98.5311,28.7755,,,,"Christine, TX",97.6,1/24/19,
TX,EF03,-97.98036,28.94704,Unavailable,TXHUB,,"Hobson, TX",96,6/8/18,
TX,EF04,-97.78986,29.21003,Unavailable,TXHUB,,"Nixon, TX",116,12/19/17,
TX,EF05,-97.517897,28.989876,Unavailable,TXHUB,,"Yorktown, TX",88,11/6/18,
TX,ET01,-94.36497,31.46512,,,,"Chireno,TX",97,1/8/19,
TX,FW01,-96.87833,32.684047,,,,"Dallas, TX",203.4,10/18/16,
TX,FW02,-97.34255,32.95019,,,,"Haslet, TX",226.5,9/21/16,
TX,FW04,-96.92325,32.84763,,,,"Dallas, TX",144.8,9/27/16,
TX,FW05,-96.747081,32.988669,,,,"Dallas, TX",207.3,11/15/16,
TX,FW06,-97.55693,32.972559,,,,"Azle, TX",233,10/18/16,
TX,FW07,-97.786092,32.702466,,,,"Dallas, TX",310.9,10/17/16,
TX,FW09,-96.913922,32.92282,,,,"Farmers Branch, TX",133.3,9/28/16,
TX,FW11,-97.12787,32.72273,,,,"Arlington, TX",197.5,10/19/16,
TX,FW12,-97.148597,32.499076,,,,"Alvarado, TX",203.9,9/20/16,
TX,FW13,-97.43112,32.35172,,,,"Cleburne, TX",259,11/14/16,
TX,FW14,-97.1923,32.3991,,,,"Alvarado, TX",219,11/14/16,
TX,FW15,-97.3695,32.7044,,,,"Fort Worth, TX",192,4/11/17,
TX,HBVL,-98.669634,27.064992,Unavailable,TXHUB,,"Hebbronville, TX",155,2/14/17,
TX,HNDO,-99.28081,29.5288,Unavailable,TXHUB,,"Hondo, TX",381,2/15/17,
TX,MB01,-102.0829098,31.6677338,,,,"Midkiff, TX",859,2/28/19,
TX,MB02,-102.037907,31.19806,Unavailable,,,"Rankin, TX",767.74,11/15/18,
TX,MB04,-102.48802,32.62542,Unavailable,,,"Seminole,TX",956,11/16/18,
TX,MB05,-101.8597158,32.6265397,,,,"Klondike, TX",882,2/28/19,
TX,MB06,-101.7999756,31.9779827,,,,"Greenwod, TX",801,2/27/19,
TX,MB07,-102.25277,32.00061,Unavailable,,,"Midland,TX",880,7/25/19,
TX,MB08,-102.328853,31.884448,University of Texas,TexNet,,"Odessa, TX",863,7/9/20,
TX,MLDN,-97.068723,29.822212,Unavailable,TXHUB,,"Muldoon, TX",104,8/4/17,
TX,MNHN,-102.76141,31.34023,Unavailable,TXHUB,,"Monahans, TX",750,8/4/17,
TX,ODSA,-102.54913,32.12009,Unavailable,TXHUB,,"Odessa, TX",943,12/21/16,
TX,OG01,-102.305318,31.934943,University of Texas,TexNet,,"Odessa, TX",892,7/8/20,
TX,OG02,-102.323853,31.954503,University of Texas,TexNet,,"Odessa, TX",909,7/9/20,
TX,OG03,-102.4867,32.02737,University of Texas,TexNet,,"Odessa, TX",921,9/9/20,
TX,OZNA,-101.12708,30.92195,Unavailable,TXHUB,,"Ozona, TX",770.8392,2/7/17,
TX,PB01,-103.78112,30.94367,Unavailable,TXHUB,,"Toyahvale, TX",1010,9/12/17,
TX,PB03,-103.51395,31.08384,Unavailable,TXHUB,,"Varhalen, TX",871,11/12/17,
TX,PB04,-103.2694,31.18697,Unavailable,TXHUB,,"Verhalen, TX",812,2/11/19,
TX,PB05,-103.3247,30.91978,Unavailable,TXHUB,,"Pecos County, TX",957,11/4/16,
TX,PB06,-103.21825,31.6472,Unavailable,TXHUB,,"Pyote, TX",831,10/10/17,
TX,PB07,-103.66793,31.57935,University of Texas,TexNet,,"Pecos, TX",856,10/10/17,
TX,PB08,-102.90736,30.89174,Unavailable,TXHUB,,"Fort Stockton, TX",926,5/24/17,
TX,PB09,-104.301444,31.774145,Unavailable,TXHUB,,"Orla, TX",1139,5/21/19,
TX,PB10,-103.754585,31.283607,Unavailable,TXHUB,,"Toyah, TX",858,10/16/18,
TX,PB11,-104.03412,31.93553,Unavailable,TXHUB,,"NW of Orla, TX",915,5/2/18,
TX,PB12,-103.9577,31.2133,,,,"Toyah, TX",1011.9,11/12/18,
TX,PB13,-103.8458,31.5542,,,,"Northwest of Pecos, TX",956.1,4/24/19,
TX,PB14,-103.1511,31.12932,Texas Seismological Network,TXHUB,,Fort Stockton,807,6/26/19,
TX,PB16,-103.252,31.12496,Unavailable,TXHUB,,"Coyanosa, TX",848,2/12/19,
TX,PB17,-103.15182,30.99675,,,,Fort Stockton,734,2/20/20,
TX,PB18,-103.1996,31.20084,Texas Seismological Network,TXHUB,,Coyanosa,825,6/27/19,
TX,PB19,-103.099701,31.303087,,,,"West of Imperial, TX",782.4,5/23/19,
TX,PB21,-103.06216,31.341918,Unavailable,TXHUB,,"Coyanosa, TX",753,9/11/19,
TX,PB22,-103.076924,31.211658,Texas Seismological Network,TXHUB,,coyonosa,808,9/3/20,
TX,PB28,-104.50077,31.66864,Unavailable,TXHUB,,Culberson County,1204,3/5/20,
TX,PB29,-104.514453,31.75299,Unavailable,TXHUB,,Culberson County,1242,3/5/20,
TX,PB30,-103.3227,31.2804,,,,"Pecos,TX",829,3/4/20,
TX,PB31,-104.030536,31.73226,Unavailable,TXHUB,,"Orla, TX",907,5/20/20,
TX,PB32,-103.37278,31.10306,Texas Seismological Network,TXHUB,,"Pecos, TX",861,6/3/20,
TX,PB33,-104.054045,31.534929,Texas Seismological Network,TXHUB,,"Pecos, TX",1006,6/3/20,
TX,PCOS,-103.510147,31.408922,Guralp Systems,TXHUB,,Crockett Middle School Pecos,788.2,3/31/19,
TX,PECS,-103.86697,31.37045,Unavailable,TXHUB,,"Toyah, TX",914,1/31/17,
TX,PH02,-101.946743,35.39086,Unavailable,TXHUB,,"Potter County, TX",1094,10/24/18,
TX,PH03,-101.551399,35.3574,Unavailable,TXHUB,,"Panhandle, TX",1055,10/25/18,
TX,PLPT,-98.31578,32.81276,Unavailable,TXHUB,,"Palo Pinto, TX",336,8/8/17,
TX,POST,-101.50105,33.0662,Unavailable,TXHUB,,"Post, TX",788.6,12/20/16,
TX,RTBA,-102.73743,36.43795,Unavailable,TXHUB,,"Rita Blanca, TX",1284,8/10/17,
TX,SAND,-102.12331,29.95471,Unavailable,TXHUB,,"Sanderson, TX",688.8,2/6/17,
TX,SGCY,-101.12639,31.91436,Unavailable,TXHUB,,"Sterling City, TX",776,2/7/17,
TX,SMWD,-100.24248,35.10455,Unavailable,TXHUB,,"Samnorwood, TX",704,8/9/17,
TX,SN02,-100.91106,32.86452,Unavailable,TXHUB,,"Snyder, TX",748,3/8/17,
TX,SN03,-100.94118,32.92429,Unavailable,TXHUB,,"Snyder, TX",744,3/8/17,
TX,SN04,-100.86952,32.89878,Unavailable,TXHUB,,"Snyder, TX",716,3/8/17,
TX,SN07,-100.89172,33.09092,,,,"Snyder, TX",620,9/27/16,
TX,SN08,-101.060724,32.782579,Unavailable,TXHUB,,"Arah, TX",758,11/29/18,
TX,SN09,-100.739412,32.672969,Unavailable,TXHUB,,"Hermleigh, TX",663,9/30/19,
TX,SN10,-100.72388,33.04918,Unavailable,TXHUB,,"Rotan, TX",658,3/20/19,
TX,SNAG,-94.17877,31.51818,Unavailable,TXHUB,,"San Augustine, TX",84,8/7/17,
TX,TREL,-96.08933,32.73039,Unavailable,TXHUB,,"Terrell, TX",174,8/7/17,
TX,VHRN,-104.985193,30.786736,Unavailable,TXHUB,,"Van Horn, TX",1253,1/31/17,
TX,WTFS,-98.46455,33.76622,Unavailable,TXHUB,,"Witchita Falls, TX",277,12/14/16,
MG,JRQG,-100.446976,20.703686,Seismic Network of the NorthEastern Mexico,TXHUB,,Juriquilla,1965,8/28/03,
G,UNM,-99.178062,19.329662,GEOSCOPE,TXHUB,,Unam - Mexico,2280,6/5/90,
AE,319A,-109.280899,31.3757,Arizona Broadband Seismic Network,TXHUB,,Douglas,1187,11/30/11,
AM,R0F1A,-95.576,29.5978,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station,27,10/31/16,
AM,R349C,-101.9118,33.5954,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station (4D),985,12/31/16,
AM,R3913,-98.4261,29.5843,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station (4D),256,12/31/16,
AM,R7489,-95.5868,30.1825,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station (4D),67,12/31/16,
AM,R7783,-97.8306,30.4717,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station (4D),297,12/31/16,
AM,R7813,-96.5851,33.0413,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station,167,12/31/16,
AM,R9B84,-95.6986,29.9144,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station,46,10/31/16,
AM,R9EE9,-96.7944,32.8533,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station,178,10/31/16,
AM,RC421,-96.2945,30.6466,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station,88,10/31/16,
AM,REA98,-95.3852,29.81,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station,18,10/31/16,
AM,RFAE6,-97.1323,32.2972,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station,199,10/31/16,
AM,RFFB7,-97.1041,33.221,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station (4D),199,12/31/16,
2T,EF51,-98.4979,28.7897,University of Texas,TXHUB,,"Christine, TX",98.3,12/17/18,
2T,EF52,-98.20175,28.84362,University of Texas,TXHUB,,"Cambellton, TX",115,4/26/19,
2T,EF53,-97.8044,29.0551,University of Texas,TXHUB,,"Gillett, TX",98.1,12/20/18,
2T,EF54,-97.6301,29.1577,University of Texas,TXHUB,,"Nixon, TX",122.4,11/15/18,
2T,EF55,-97.4153,29.2628,University of Texas,TXHUB,,"Cheapside, TX",112.6,4/18/19,
2T,EF56,-97.1894,29.5828,University of Texas,TXHUB,,Moulton,127.8,9/26/18,
2T,EF58,-98.723,28.8365,University of Texas,TXHUB,,"Charlotte, TX",137,11/16/18,
2T,EF59,-98.4191,28.9501,University of Texas,TXHUB,,"Coughran, TX",98.1,11/8/18,
2T,EF61,-97.9834,29.1253,University of Texas,TXHUB,,"Poth, TX",97.1,12/20/18,
2T,EF62,-97.685,29.3651,University of Texas,TXHUB,,"Nixon, TX",98.8,12/18/18,
2T,EF63,-97.4637,29.5756,University of Texas,TXHUB,,"Gonzales, TX",121.3,12/17/18,
2T,EF64,-97.3128,29.7397,University of Texas,TXHUB,,"Waelder, TX",130.89,12/17/18,
2T,EF65,-96.9805,29.6716,University of Texas,TXHUB,,"Schulenburg, TX",71.5,12/18/18,
2T,EF66,-97.1239,29.351,University of Texas,TXHUB,,"Yoakum, TX",82.3,12/18/18,
2T,EF67,-97.3682,29.1298,University of Texas,TXHUB,,"Cuero, TX",54.1,12/20/18,
2T,EF68,-97.9839,28.7685,University of Texas,TXHUB,,"Kenedy, TX",141,12/18/18,
2T,EF69,-98.2802,28.6338,University of Texas,TXHUB,,"Whitsett, TX",59.3,12/18/18,
2T,EF71,-98.0439,28.6281,University of Texas,TXHUB,,"Pawnee, TX",94.9,12/18/18,
2T,EF72,-97.59197,28.86009,University of Texas,TXHUB,,"Nordheim, TX",110,12/19/18,
2T,EF73,-97.8966,28.9826,University of Texas,TXHUB,,"North Karnes, TX",90.4,11/8/18,
