EventID,Evaluation Status,Origin Date,Origin Time,Magnitude,Moment Magnitude,Latitude (WGS84),Latitude Error (km),Longitude (WGS84),Longitude Error (km),Depth of Hypocenter (Km.  Rel to MSL),Depth of Hypocenter (Km. Rel to Ground Surface),Depth Uncertainty (Km. Corresponds to 1 st dev),RMS,UsedPhaseCount,UsedStationCount,Author,EventType,LocationName,Nodal Plane 1 - Strike,Nodal Plane 1 - Dip,Nodal Plane 1 - Rake,Nodal Plane 2 - Strike,Nodal Plane 2 - Dip,Nodal Plane 2 - Rake,Focal Mechanism Method ID,Focal Mechanism - Azimuthal Gap,Focal Mechanism - Misfit,Maximum Station Distance (km),Last Updated
texnet2017sygg,final,2017-09-27,10:05:03,2.3,,31.1615,0.9,-103.2732,0.8,6.3,7.1,2.4,0.4,29,20,TXNet,earthquake,Western Texas,212,53,75,56,40,108,Moment Tensor,72.10360023,0.9048896513,207.25953800832,2017-11-01 21:35:27
texnet2017syer,final,2017-09-27,09:16:23,2.7,,31.1726,1.0,-103.2706,1.2,6.1,6.9,2.1,0.4,26,17,TXNet,earthquake,Western Texas,172,87,-1,262,89,-177,Moment Tensor,73.90811845,0.8217585834,206.903480387625,2017-11-01 19:29:02
texnet2017sbdw,final,2017-09-14,18:44:21,2.4,,32.8629,0.8,-100.9038,0.7,5.8,6.6,0.7,0.1,19,11,TXNet,earthquake,Western Texas,181,85,-141,87,51,-6,first motion,,,120.934106922825,2017-10-12 21:44:49
texnet2017sazy,final,2017-09-14,16:45:40,3.0,,32.8757,0.5,-96.9209,0.6,5.4,5.5,0.9,0.3,48,34,TXNet,earthquake,Central Texas,359,70,176,90,87,20,first motion,,,360.953081201475,2017-10-12 21:44:38
texnet2017rufo,final,2017-09-10,23:38:20,1.1,,32.8647,0.9,-100.9531,0.6,4.0,4.7,1.2,0.2,22,12,TXNet,earthquake,Western Texas,273,81,35,177,55,169,first motion,,,125.48111899365,2017-10-12 21:43:15
texnet2017rnlc,final,2017-09-07,06:29:01,2.0,,32.8738,0.8,-100.9017,0.7,5.4,6.1,0.6,0.2,24,14,TXNet,earthquake,Western Texas,91,66,-4,183,86,-156,first motion,,,175.86975849313498,2017-10-12 21:41:51
texnet2017rlya,final,2017-09-06,10:45:21,1.5,,32.8729,1.0,-100.9006,0.6,5.9,6.6,0.7,0.1,19,10,TXNet,earthquake,Western Texas,354,89,156,84,66,1,first motion,,,120.886059340935,2017-10-12 21:40:27
texnet2017rlvj,final,2017-09-06,09:25:07,2.0,,32.8683,0.8,-100.9017,0.7,5.5,6.2,0.7,0.1,17,11,TXNet,earthquake,Western Texas,180,85,-144,86,54,-6,first motion,,,120.87097796308498,2017-10-12 21:40:06
texnet2017rlsu,final,2017-09-06,08:05:36,2.8,,32.8693,0.8,-100.9006,0.6,6.1,6.8,0.7,0.2,22,13,TXNet,earthquake,Western Texas,90,64,0,0,90,154,first motion,,,212.596819171065,2017-10-12 21:39:56
texnet2017rgcy,final,2017-09-03,06:24:36,2.7,,31.1729,1.3,-103.3297,1.1,8.1,9.0,2.1,0.4,27,20,TXNet,earthquake,Western Texas,112,89,90,292,1,90,first motion,,,207.39281755846497,2020-05-28 21:43:46
texnet2017qivn,final,2017-08-21,12:32:40,2.6,,32.8903,0.8,-100.8995,0.7,6.0,6.8,0.9,0.1,19,11,TXNet,earthquake,Western Texas,0,90,180,90,90,0,first motion,,,110.6496767359935,2017-10-12 21:34:01
texnet2017qhqo,final,2017-08-20,20:54:30,2.7,,31.1396,1.3,-103.2313,0.9,6.2,7.0,2.5,0.3,18,13,TXNet,earthquake,Western Texas,288,57,166,26,78,34,first motion,,,169.446181907205,2019-08-14 14:38:11
texnet2017qgjd,final,2017-08-20,04:00:59,1.7,,32.8702,0.8,-100.9038,0.6,6.2,7.0,0.6,0.1,18,11,TXNet,earthquake,Western Texas,358,78,-176,267,86,-12,first motion,,,121.11119107605,2017-10-13 18:50:00
texnet2017pwel,final,2017-08-14,14:16:04,2.2,,32.9269,0.9,-100.8759,0.7,5.7,6.5,1.6,0.1,20,12,TXNet,earthquake,Western Texas,93,89,19,3,71,179,first motion,,,120.15436621828498,2017-10-12 21:30:53
texnet2017pukn,final,2017-08-13,15:05:44,2.7,,32.8867,0.8,-100.8845,0.6,6.6,7.4,0.7,0.2,24,13,TXNet,earthquake,Western Texas,107,67,-168,13,79,-23,first motion,,,119.77735634613,2017-10-12 21:29:20
texnet2017ptdk,final,2017-08-12,22:20:58,2.9,,32.8958,0.7,-100.8866,0.6,6.0,6.8,0.7,0.2,22,12,TXNet,earthquake,Western Texas,90,82,5,360,85,171,first motion,,,120.21841642860001,2017-10-12 21:28:17
texnet2017pmve,final,2017-08-09,11:22:20,2.8,,32.9269,0.8,-100.8674,0.6,4.9,5.6,1.6,0.2,21,12,TXNet,earthquake,Western Texas,106,67,18,9,74,156,first motion,,,119.38472201974498,2017-10-12 21:25:30
texnet2017pmco,final,2017-08-09,01:57:15,3.0,,32.9233,0.8,-100.8695,0.5,4.5,5.2,1.6,0.1,21,12,TXNet,earthquake,Western Texas,94,85,30,2,60,175,first motion,,,119.46508976272499,2017-10-12 21:24:48
texnet2017pjvs,final,2017-08-07,20:14:24,2.3,,32.9196,0.6,-100.8631,0.7,4.2,4.9,1.2,0.2,23,13,TXNet,earthquake,Western Texas,101,87,38,8,52,176,first motion,,,118.77620982853499,2017-10-12 21:23:14
texnet2017pecz,final,2017-08-04,17:05:36,2.8,,31.1589,1.2,-103.2473,1.1,6.3,7.1,2.7,0.3,19,15,TXNet,earthquake,Western Texas,161,89,-52,252,38,-179,Moment Tensor,135.5184813,0.8023098066,172.07962120944,2020-05-28 21:13:20
texnet2017ogxp,final,2017-07-23,00:14:11,2.0,,31.3633,1.1,-103.5052,0.9,0.8,1.6,1.3,0.3,12,10,TXNet,earthquake,Western Texas,151,67,-45,262,49,-149,first motion,,,155.10474773766,2019-05-24 15:29:25
texnet2017ofwk,final,2017-07-22,10:30:21,2.6,,32.8793,1.1,-100.8952,0.7,5.4,6.1,0.9,0.2,18,10,TXNet,earthquake,Western Texas,90,84,-54,188,36,-170,first motion,,,87.6177311137065,2017-10-13 17:44:12
texnet2017obxk,final,2017-07-20,06:28:57,2.3,,31.3826,1.2,-103.4934,1.0,4.2,5.0,1.4,0.3,22,18,TXNet,earthquake,Western Texas,45,2,14,301,90,92,first motion,,,231.31843755142498,2019-05-24 15:28:58
texnet2017nnah,final,2017-07-12,02:54:13,2.0,,32.0883,1.3,-102.2565,0.8,0.3,1.2,1.4,0.2,17,15,TXNet,earthquake,Western Texas,90,55,-43,209,56,-136,first motion,,,198.89813846983498,2017-10-13 17:19:13
texnet2017njwr,final,2017-07-10,09:38:19,2.3,,32.8336,1.2,-100.9745,0.9,5.4,6.1,2.1,0.2,20,12,TXNet,earthquake,Western Texas,125,35,-117,337,59,-72,first motion,,,103.25331745321948,2017-10-12 21:16:17
texnet2017mceh,final,2017-06-21,22:52:04,3.3,,32.9471,0.4,-97.5790,0.4,3.3,3.5,0.8,0.3,99,56,TXNet,earthquake,Central Texas,86,52,-56,218,49,-125,first motion,,,403.68657164598,2017-10-12 21:13:52
texnet2017lytk,final,2017-06-20,01:57:27,2.4,,32.0920,1.3,-102.2479,0.9,0.0,0.9,0.9,0.4,29,21,TXNet,earthquake,Western Texas,104,37,-69,258,56,-105,first motion,,,199.67515233939,2017-10-13 21:02:13
texnet2017lyoq,final,2017-06-19,23:33:02,1.9,,32.9910,0.8,-100.8180,0.7,1.6,2.3,2.7,0.1,20,12,TXNet,earthquake,Western Texas,136,43,-94,322,47,-86,first motion,,,123.23047237073999,2017-10-13 16:36:10
texnet2017ltcq,final,2017-06-16,23:48:10,2.0,,32.9031,0.7,-100.8995,0.5,5.0,5.7,0.9,0.2,28,14,TXNet,earthquake,Western Texas,245,47,-52,16,55,-124,first motion,,,221.471656395885,2017-10-12 21:12:28
texnet2017ltcp,final,2017-06-16,23:47:08,1.8,,32.9132,0.8,-100.9006,0.6,2.9,3.6,1.5,0.2,27,15,TXNet,earthquake,Western Texas,190,87,108,288,18,9,first motion,,,222.57697961866498,2017-10-12 21:12:17
texnet2017ltca,final,2017-06-16,23:29:48,1.6,,32.9013,0.8,-100.8952,0.7,5.6,6.3,0.8,0.2,26,14,TXNet,earthquake,Western Texas,127,88,4,37,86,178,first motion,,,221.308609610655,2017-10-12 21:11:57
texnet2017lptt,final,2017-06-15,03:54:15,2.5,,31.0756,0.8,-103.4840,1.0,6.1,6.9,1.8,0.3,27,17,TXNet,earthquake,Western Texas,115,50,-136,354,58,-49,Moment Tensor,96.0026785,0.8747185305,203.831236148715,2019-05-24 15:24:40
texnet2017lgnj,final,2017-06-10,02:28:23,0.7,,32.8519,0.9,-100.9467,0.8,4.3,5.1,1.5,0.2,19,12,TXNet,earthquake,Western Texas,189,66,-140,81,54,-30,first motion,,,124.60367702474998,2017-10-12 21:10:43
texnet2017lgjn,final,2017-06-10,00:32:42,1.1,,32.8574,1.1,-100.9467,0.9,4.2,4.9,1.8,0.2,19,10,TXNet,earthquake,Western Texas,158,72,-147,57,59,-21,first motion,,,106.2610787108745,2017-10-12 21:10:33
texnet2017ktux,final,2017-06-03,03:30:46,0.6,,32.8555,0.9,-100.9467,0.6,4.3,5.1,1.3,0.1,17,10,TXNet,earthquake,Western Texas,183,38,-127,47,60,-65,first motion,,,92.9762886613365,2017-10-12 21:08:39
texnet2017kpfi,final,2017-05-31,15:06:51,1.2,,32.4866,0.8,-97.1470,0.5,8.5,8.7,1.2,0.2,20,11,TXNet,earthquake,Central Texas,326,66,25,225,68,154,first motion,,,31.972724295340495,2017-10-12 21:08:07
texnet2017kpcx,final,2017-05-31,13:52:05,1.8,,32.8391,1.3,-100.9681,0.9,7.7,8.4,2.1,0.2,20,11,TXNet,earthquake,Western Texas,210,31,-106,49,60,-80,first motion,,,103.9433162537385,2017-10-13 15:46:45
texnet2017klte,final,2017-05-29,17:32:08,2.9,,32.4966,0.4,-97.1545,0.5,9.0,9.2,0.9,0.3,45,24,TXNet,earthquake,Central Texas,353,59,166,91,78,32,first motion,,,64.98033051484799,2017-10-12 21:07:36
texnet2017khxs,final,2017-05-27,15:18:53,1.8,,32.5095,0.6,-97.1416,0.7,7.2,7.4,1.0,0.2,26,14,TXNet,earthquake,Central Texas,24,60,36,274,59,144,first motion,,,64.7982779799915,2017-10-12 21:07:15
texnet2017jzoe,final,2017-05-23,01:22:46,1.3,,32.9599,0.4,-100.8909,0.6,3.5,4.3,1.5,0.2,25,16,TXNet,earthquake,Western Texas,229,8,-48,6,84,-95,first motion,,,258.624635733135,2017-10-12 21:06:54
texnet2017jxbs,final,2017-05-21,16:48:22,2.1,,32.9636,0.6,-100.9059,0.7,4.1,4.9,1.8,0.2,20,11,TXNet,earthquake,Western Texas,245,38,-55,23,59,-114,first motion,,,124.00858707079499,2017-10-13 15:41:27
texnet2017jtgj,final,2017-05-19,14:37:13,1.8,,31.1144,1.5,-103.3015,1.6,6.0,6.9,3.2,0.4,18,13,TXNet,earthquake,Western Texas,113,67,176,205,87,23,first motion,,,201.42656677079998,2019-05-24 15:21:27
texnet2017jknf,final,2017-05-14,19:52:47,1.7,,32.4884,0.6,-97.1449,0.5,7.8,8.0,0.9,0.2,28,15,TXNet,earthquake,Central Texas,318,73,6,226,84,163,first motion,,,66.18138045677549,2017-10-12 21:06:12
texnet2017jhcx,final,2017-05-12,23:16:07,0.7,,32.8702,0.8,-100.9017,0.7,4.9,5.6,1.0,0.1,17,9,TXNet,earthquake,Western Texas,358,89,137,89,47,1,first motion,,,88.62003484878599,2017-10-12 21:06:02
texnet2017jgci,final,2017-05-12,09:50:39,1.2,,32.4783,0.8,-97.1438,1.0,6.5,6.7,1.2,0.2,20,11,TXNet,earthquake,Central Texas,170,58,54,43,47,133,first motion,,,47.174664868190995,2017-10-12 21:05:52
texnet2017jeux,final,2017-05-11,16:55:54,1.1,,32.8482,1.0,-100.9209,0.7,4.7,5.5,1.6,0.2,17,10,TXNet,earthquake,Western Texas,268,45,-10,5,83,-135,first motion,,,122.16627283959,2017-10-12 21:05:41
texnet2017jebk,final,2017-05-11,07:04:05,0.6,,32.8555,1.0,-100.9295,0.7,5.7,6.5,0.9,0.2,27,14,TXNet,earthquake,Western Texas,326,46,-4,59,87,-136,first motion,,,252.98482544432997,2017-10-12 21:05:31
texnet2017jebg,final,2017-05-11,06:59:21,1.4,,32.9636,0.6,-100.9081,0.6,4.4,5.2,1.3,0.1,23,13,TXNet,earthquake,Western Texas,2,79,-144,264,55,-14,first motion,,,206.069963557185,2017-10-12 21:05:20
texnet2017ixgy,final,2017-05-07,13:56:59,1.1,,32.4838,0.5,-97.1545,0.6,6.6,6.8,1.0,0.2,23,13,TXNet,earthquake,Central Texas,96,82,-94,302,9,-64,first motion,,,38.979635600052,2017-10-12 21:04:59
texnet2017iuno,final,2017-05-06,01:51:32,3.4,,32.9745,0.7,-100.8674,0.7,3.3,4.0,2.0,0.2,22,12,TXNet,earthquake,Western Texas,54,72,-131,304,44,-26,first motion,,,120.95867734839,2017-10-11 19:06:27
texnet2017iodv,final,2017-05-02,14:07:50,1.6,,32.7328,0.6,-97.2939,0.6,7.5,7.6,2.0,0.3,26,14,TXNet,earthquake,Central Texas,167,69,109,303,29,50,first motion,,,83.8997003182275,2017-10-12 21:04:28
texnet2017imxr,final,2017-05-01,21:52:46,3.2,,31.1108,1.1,-103.3251,1.4,5.2,6.0,2.8,0.3,15,10,TXNet,earthquake,Western Texas,110,43,97,280,47,84,Moment Tensor,96.70248625,0.50348146,172.838353509045,2020-01-30 19:46:53
texnet2017immj,final,2017-05-01,16:10:09,2.6,,32.7310,0.3,-97.2874,0.3,5.5,5.7,0.8,0.3,76,47,TXNet,earthquake,Central Texas,300,71,167,34,78,20,first motion,,,272.428399267605,2017-10-12 21:03:57
texnet2017ilrw,final,2017-05-01,05:50:13,0.6,,32.4765,0.7,-97.1588,0.6,7.0,7.2,1.0,0.1,17,9,TXNet,earthquake,Central Texas,243,63,139,354,54,34,first motion,,,24.56341116201,2017-10-12 21:03:36
texnet2017ijgh,final,2017-04-29,21:42:01,1.5,,32.8555,1.0,-100.9467,0.7,4.8,5.5,1.6,0.2,23,13,TXNet,earthquake,Western Texas,89,57,-35,199,62,-142,first motion,,,210.021306570495,2017-10-12 21:03:25
texnet2017ihdn,final,2017-04-28,18:02:47,1.4,,32.8922,0.8,-100.9510,0.6,4.5,5.3,1.0,0.2,24,15,TXNet,earthquake,Western Texas,93,40,-5,187,87,-130,first motion,,,257.25131532513,2017-10-12 21:03:05
texnet2017ifpw,final,2017-04-27,21:58:30,1.8,,31.3863,1.1,-103.5385,1.3,0.7,1.5,2.3,0.4,21,13,TXNet,earthquake,Western Texas,104,82,-153,10,63,-9,first motion,,,235.595299924215,2019-05-24 15:17:35
texnet2017ieof,final,2017-04-27,08:00:41,2.3,,32.9214,0.7,-100.8674,0.6,4.6,5.3,1.5,0.1,18,9,TXNet,earthquake,Western Texas,279,79,-43,20,48,-165,first motion,,,83.0574659776995,2017-10-12 21:19:57
texnet2017iebo,final,2017-04-27,01:36:45,0.3,,32.9654,0.7,-100.9038,0.7,4.6,5.4,2.0,0.0,15,9,TXNet,earthquake,Western Texas,79,30,-47,212,69,-111,first motion,,,83.135386641195,2017-10-12 21:02:44
texnet2017hxcy,final,2017-04-23,06:23:15,1.6,,32.9782,0.5,-100.8652,0.7,2.9,3.6,1.6,0.2,21,12,TXNet,earthquake,Western Texas,121,10,-102,314,80,-88,first motion,,,120.86987290717501,2017-10-12 20:54:38
texnet2017hteb,final,2017-04-21,02:23:36,0.9,,32.8986,1.1,-100.8791,0.7,6.1,6.8,1.5,0.2,19,10,TXNet,earthquake,Western Texas,2,77,-164,268,75,-14,first motion,,,119.61518822379,2017-10-12 21:01:41
texnet2017hqgr,final,2017-04-19,12:18:06,2.7,,31.0940,1.0,-103.4947,1.0,8.8,9.7,2.1,0.3,21,14,TXNet,earthquake,Western Texas,185,75,112,307,26,35,first motion,,,201.56230595434496,2019-05-24 15:15:41
texnet2017hozr,final,2017-04-18,19:37:44,1.2,,32.9187,0.8,-100.8684,0.7,5.4,6.1,1.7,0.1,20,11,TXNet,earthquake,Western Texas,113,65,27,11,66,152,first motion,,,180.97882103637,2017-10-12 21:01:31
texnet2017hnld,final,2017-04-17,23:09:06,1.4,,32.9196,0.8,-100.8674,0.7,4.8,5.5,1.4,0.1,20,11,TXNet,earthquake,Western Texas,109,51,43,349,58,132,first motion,,,114.45286650020999,2017-10-12 21:01:20
texnet2017hdkt,final,2017-04-12,11:35:33,0.7,,32.8354,1.1,-100.9531,1.2,3.8,4.6,2.0,0.1,17,10,TXNet,earthquake,Western Texas,213,40,-87,30,50,-92,first motion,,,103.7520419950665,2017-10-12 21:00:49
texnet2017hash,final,2017-04-10,23:59:04,1.6,,32.9581,0.6,-100.8824,0.7,4.1,4.8,1.9,0.1,18,10,TXNet,earthquake,Western Texas,121,45,-86,295,45,-94,first motion,,,81.79706463704998,2017-10-12 20:18:38
texnet2017gyzk,final,2017-04-10,01:18:41,2.8,,31.1475,1.0,-103.2821,1.0,0.9,1.7,1.5,0.3,25,17,TXNet,earthquake,Western Texas,68,14,-30,188,83,-103,Moment Tensor,136.2448689,0.8618370766,208.811440255005,2020-05-28 21:50:24
texnet2017gtfl,final,2017-04-06,21:34:55,0.3,,32.8537,1.1,-100.9510,0.7,4.5,5.3,1.3,0.1,16,10,TXNet,earthquake,Western Texas,204,52,-107,51,41,-69,first motion,,,105.7953928944465,2017-10-12 21:00:18
texnet2017fmlj,final,2017-03-19,23:03:35,2.7,,31.1299,0.9,-103.5064,0.9,4.6,5.5,2.1,0.2,18,10,TXNet,earthquake,Western Texas,135,21,-114,340,71,-81,Moment Tensor,120.1478594,0.8725497654,200.643870169575,2019-05-24 15:07:48
texnet2017fjch,final,2017-03-18,03:03:11,2.8,,31.4139,2.3,-103.4676,1.2,2.6,3.3,1.5,0.2,9,6,TXNet,earthquake,Western Texas,263,64,103,54,28,64,Moment Tensor,196.8296841,0.4224410998,184.44684430745997,2020-05-28 21:22:43
texnet2017aqxa,final,2017-01-10,05:46:47,2.2,,32.6706,0.8,-97.2467,0.8,4.2,4.4,1.8,0.4,20,16,TXNet,earthquake,Central Texas,93,83,-162,1,72,-7,first motion,,,73.46613722099399,2017-10-11 20:38:12